ING; №   Накл.;Дата продажи; №  п/п;Артикул+Название;Кол-во;Фирма;Витр;Work;Метка;Учет;Ost_Old;Ost_New;Baza_Old;;;Baza_new;;
4156;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4034;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4111;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4821;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4143;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4053;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4082;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4061;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4074;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4083;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4123;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
1373;15632;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
1379;15632;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
1647;15632;15.01.2019;;;3;D+Z;;;бн;;;;;;;;;
1648;15632;15.01.2019;;;3;D+Z;;;бн;;;;;;;;;
4839;15632;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4063;15632;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4222;15632;15.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4217;15632;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
3099;15641;16.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4057;15641;16.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4036;15641;16.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4060;15641;16.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4067;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4860;15649;16.01.2019;;;15;D+Z;;;бн;;;;;;;;;
3099;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4020;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4124;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4125;15649;16.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4824;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4180;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4835;15649;16.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4022;15649;16.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4023;15649;16.01.2019;;;30;D+Z;;;бн;;;;;;;;;
4001;15649;16.01.2019;;;60;D+Z;;;бн;;;;;;;;;
4822;15649;16.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4833;15649;16.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4028;15649;16.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4027;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4088;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4850;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4155;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4050;15649;16.01.2019;;;15;D+Z;;;бн;;;;;;;;;
4070;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4156;15649;16.01.2019;;;15;D+Z;;;бн;;;;;;;;;
4058;15649;16.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4080;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4142;15649;16.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4220;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4158;15649;16.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4143;15649;16.01.2019;;;40;D+Z;;;бн;;;;;;;;;
4861;15649;16.01.2019;;;15;D+Z;;;бн;;;;;;;;;
4062;15649;16.01.2019;;;45;D+Z;;;бн;;;;;;;;;
4178;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4075;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4222;15649;16.01.2019;;;100;D+Z;;;бн;;;;;;;;;
4216;15649;16.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4045;15649;16.01.2019;;;15;D+Z;;;бн;;;;;;;;;
1340;15656;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
2120;15656;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
1288;15656;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
1289;15656;17.01.2019;;;5;D+Z;;;бн;;;;;;;;;
2271;15656;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
1250;15656;17.01.2019;;;50;D+Z;;;бн;;;;;;;;;
1164;15656;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
1270;15656;17.01.2019;;;25;D+Z;;;бн;;;;;;;;;
1637;15656;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
2068;15656;17.01.2019;;;5;D+Z;;;бн;;;;;;;;;
2373;15656;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
96;15656;17.01.2019;;;1;D+Z;;;бн;;;;;;;;;
1662;15656;17.01.2019;;;2;D+Z;;;бн;;;;;;;;;
4858;15658;17.01.2019;;;15;D+Z;;;бн;;;;;;;;;
4055;15658;17.01.2019;;;25;D+Z;;;бн;;;;;;;;;
3099;15658;17.01.2019;;;15;D+Z;;;бн;;;;;;;;;
4125;15658;17.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4000;15658;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4001;15658;17.01.2019;;;15;D+Z;;;бн;;;;;;;;;
4002;15658;17.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4088;15658;17.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4090;15658;17.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4146;15658;17.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4004;15658;17.01.2019;;;15;D+Z;;;бн;;;;;;;;;
4091;15658;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4092;15658;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4094;15658;17.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4006;15658;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4839;15658;17.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4112;15658;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4037;15658;17.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4116;15658;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4051;15658;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4157;15658;17.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4158;15658;17.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4143;15658;17.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4074;15658;17.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4062;15658;17.01.2019;;;25;D+Z;;;бн;;;;;;;;;
4018;15658;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4011;15658;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4028;15659;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
