,balance,consumption
265,6579.627028939831,3212
266,0.0,3260
267,6510.301320717474,3232
268,0.0,3157
269,6091.19780241077,3099
270,0.0,3109
271,6440.388246678222,3187
272,0.0,3282
273,6585.418951104104,3330
274,0.0,3302
275,6151.036189677047,3227
276,0.0,3169
277,6227.487811808074,3179
278,0.0,3257
279,6913.655325733855,3352
280,0.0,3400
281,6618.30345978737,3372
282,0.0,3297
283,6568.874824482019,3239
284,0.0,3249
285,6695.72021697222,3327
286,0.0,3422
287,6864.562551497702,3470
288,0.0,3442
289,6574.24650867675,3367
290,0.0,3309
291,6780.790521025225,3319
292,0.0,3397
293,7001.771999917831,3492
294,0.0,3540
295,6952.383242691477,3512
296,0.0,3437
297,6774.6341156879225,3379
298,0.0,3389
299,6987.092466286493,3467
300,0.0,3562
301,7141.031194578134,3610
302,0.0,3582
303,7110.35281231175,3507
304,0.0,3449
305,6788.702265605116,3459
306,0.0,3537
307,7331.076429636535,3632
308,0.0,3680
309,7365.979011400877,3652
310,0.0,3577
311,7135.867106202937,3519
312,0.0,3529
313,7352.232916764779,3607
314,0.0,3702
315,7598.618639494789,3750
316,0.0,3722
317,7320.811345336033,3647
318,0.0,3589
319,7087.7266310516825,3599
320,0.0,3677
321,7531.708238687641,3772
322,0.0,3820
323,7576.365212507419,3792
324,0.0,3717
325,7179.171982826036,3659
326,0.0,3669
327,7632.428724398342,3747
328,0.0,3842
329,7809.46394678286,3890
330,0.0,3862
331,7374.768093724595,3787
332,0.0,3729
333,7673.603903978037,3739
334,0.0,3817
335,7997.353831891845,3912
336,0.0,3960
337,7968.379734266364,3932
338,0.0,3857
339,7681.960933682991,3799
340,0.0,3809
341,7880.597455172459,3887
342,0.0,3982
343,8060.383280760232,4030
344,0.0,4002
345,7741.152402864165,3927
346,0.0,3869
347,7896.483975710791,3879
348,0.0,3957
349,8083.5033186219325,4052
350,0.0,4100
351,8272.107258142505,4072
352,0.0,3997
353,8016.7304805912045,3939
354,0.0,3949
355,8561.436309437078,4027
356,0.0,4122
357,8243.202452551268,4170
358,0.0,4142
359,8035.209796178848,4067
360,0.0,4009
361,7977.545777515708,4019
362,0.0,4097
363,8363.424433696353,4192
364,0.0,4240
365,8036.292357054032,4212
366,0.0,4137
367,7900.5236853808565,4079
368,0.0,4089
369,8269.410613768834,4167
370,0.0,4262
371,8785.015162262722,4310
372,0.0,4282
373,8336.238161963305,4207
374,0.0,4149
375,8585.399092138221,4159
376,0.0,4237
377,8531.637326982214,4332
378,0.0,4380
379,8431.197513716921,4352
380,0.0,4277
381,8557.311818940081,4219
382,0.0,4229
383,8525.015682321029,4307
384,0.0,4402
385,8891.729657867603,4450
386,0.0,4422
387,8708.748686629191,4347
388,0.0,4289
389,8552.149848438748,4299
390,0.0,4377
391,8937.909323536984,4472
392,0.0,4520
393,9250.975851797179,4492
394,0.0,4417
395,8794.960657688473,4359
396,0.0,4369
397,8943.190875606437,4447
398,0.0,4542
399,9088.882319187614,4590
400,0.0,4562
401,8945.807115033995,4487
402,0.0,4429
403,9024.1201870017,4439
404,0.0,4517
405,9144.947334278775,4612
406,0.0,4660
407,9292.16057529387,4632
408,0.0,4557
409,9082.79938410257,4499
410,0.0,4509
411,9207.546915124336,4587
412,0.0,4682
413,9530.790989644702,4730
414,0.0,4702
415,9066.8589343206,4627
416,0.0,4569
417,9162.755998695844,4579
418,0.0,4657
419,9662.285838974545,4752
420,0.0,4800
421,9375.843474732308,4772
422,0.0,4697
423,9417.626000602933,4639
424,0.0,4649
425,9668.448257210446,4727
426,0.0,4822
427,9858.039498252323,4870
428,0.0,4842
429,9567.555150954686,4767
430,0.0,4709
431,9484.495656116102,4719
432,0.0,4797
433,9737.62047792724,4892
434,0.0,4940
435,9799.15874279186,4912
436,0.0,4837
437,9826.999910153932,4779
438,0.0,4789
439,9709.83073713936,4867
440,0.0,4962
441,9635.150491500402,5010
442,0.0,4982
443,9709.610378827796,4907
444,0.0,4849
445,9617.449572821279,4859
446,0.0,4937
447,10091.87592784383,5032
448,0.0,5080
449,9864.340272760486,5052
450,0.0,4977
451,4931.760855608898,4919
452,9942.818949123583,4929
453,0.0,5007
454,10201.399953820419,5102
455,0.0,5150
456,5056.043933175333,5122
457,10368.32751225794,5047
458,0.0,4989
459,10100.568284225617,4999
460,0.0,5077
461,5278.4062744007115,5172
462,5183.338829758749,5220
463,10240.525001937178,5192
464,0.0,5117
465,9902.128827012617,5059
466,0.0,5069
467,10424.5917773655,5147
468,0.0,5242
469,10652.427749110804,5290
470,0.0,5262
471,5333.0759493771875,5187
472,10142.294254119353,5129
473,0.0,5139
474,5312.634447416874,5217
475,5201.733699764148,5312
476,5546.187458472814,5360
477,5273.776975979321,5332
478,5040.867661606724,5257
479,10019.916457052708,5199
480,0.0,5209
481,5246.9242131187775,5287
482,5321.327033287249,5382
483,5516.099860105719,5430
484,5364.766248871769,5402
485,5479.823374899182,5327
486,10476.686736622845,5269
487,0.0,5279
488,5271.821933541663,5357
489,5462.38378221858,5452
490,5599.469473836401,5500
491,5402.314536600268,5472
492,10590.51702043937,5397
493,0.0,5339
494,5241.430955100834,5349
495,5440.010673476983,5427
496,5446.3319845673905,5522
497,5703.966122921101,5570
498,5610.839065583698,5542
499,5397.417496133204,5467
500,5202.903995030687,5409
501,5539.323867050007,5419
502,5526.486405256321,5497
503,5465.7741773180815,5592
504,5660.013069460977,5640
505,5617.372263315098,5612
506,5315.022041385941,5537
507,5548.099279941347,5479
508,5383.6171650214765,5489
509,5764.804312230082,5567
510,5611.781008187257,5662
511,5736.665626854271,5710
512,5785.089304397284,5682
513,5464.350121364337,5607
514,5581.802327896686,5549
515,5395.15205540053,5559
516,5598.607151736236,5637
517,5832.077333927664,5732
518,5835.146542038006,5780
519,5805.996579380368,5752
520,5624.499923865049,5677
521,5596.670630173847,5619
522,5297.0902542949025,5629
523,5522.708269755468,5707
524,5733.855137635034,5802
525,5788.163100758039,5850
526,5660.630330597099,5822
527,5775.0653908155455,5747
528,5725.068906059031,5689
